soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil17,1,22.7,20.5,54.1,0.35,0.27,0.24,8.86,15.1,0.1,1.47,274.2,233,4.7,10
soil17,2,21.6,20.9,55.1,0.35,0.27,0.24,7.77,17,0.05,1.36,285.4,225.9,5.1,25
soil17,3,19.4,20.7,56.5,0.35,0.27,0.24,8.12,14,1.6,1.01,276.8,234.1,12.2,55
soil17,4,19.2,21.1,57.6,0.35,0.27,0.24,8.94,22.8,0.05,1.21,234.9,329.4,32.8,100
soil17,5,25.4,20.7,51.1,0.35,0.27,0.24,8.98,25,1.5,0.71,196.7,280,33.8,278
soil18,1,57.9,12.3,25.8,0.35,0.27,0.24,8.28,17.9,0.7,1.92,248.3,98.8,0.1,10
soil18,2,54.5,15.2,26.6,0.35,0.27,0.24,7.6,18.8,0.4,1.89,224.5,99.2,0.9,25
soil18,3,50,18.5,28.8,0.35,0.27,0.24,8.43,9.2,0.1,1.5,235.2,90.2,4.1,55
soil18,4,32.8,29.8,34,0.35,0.27,0.24,8.26,12.9,0.2,1.85,286.4,132.2,5.3,100
soil18,5,43.8,20.8,32.5,0.35,0.27,0.24,8.28,22.6,0.6,1.29,272.3,146.5,6,298
soil19,1,36.8,8.1,52.8,0.41,0.38,0.34,8.02,17.3,0.1,1.25,263.4,138.3,23.4,10
soil19,2,28.5,9.4,60,0.41,0.38,0.34,8.98,18.6,0.9,0.64,302.8,151.8,39.3,25
soil19,3,30.9,9.6,56.5,0.41,0.38,0.34,9.18,36.7,1.9,0.58,222.3,165.4,83.7,55
soil19,4,37.4,9.3,48.5,0.41,0.38,0.34,9.29,62.6,3.8,0.44,129,143.9,114.3,100
soil19,5,45.5,9.5,42.1,0.41,0.38,0.34,9.4,71.5,2.3,0.19,91.5,122.4,92,262
soil20,1,12.3,14,71.6,0.31,0.28,0.25,7.35,14.3,0.1,1.12,233,177.9,23.2,10
soil20,2,12.1,13.6,73.2,0.41,0.38,0.34,8.4,10.2,0.1,0.55,248.8,181.9,35.1,25
soil20,3,14,13.1,72,0.41,0.38,0.34,8.95,15.5,0.1,0.46,259.3,182.8,63.1,55
soil20,4,13.9,13,72.1,0.41,0.38,0.34,8.91,29.1,0.2,0.42,249.3,182.8,87.3,100
soil20,5,12.7,12.5,73.9,0.41,0.38,0.34,8.87,36.2,0.3,0.28,219.9,187.4,91.2,329
soil21,1,14,19.2,65,0.35,0.27,0.24,7.5,16.2,0.05,1.05,282.8,140.4,25,10
soil21,2,13.6,18.9,66.2,0.45,0.36,0.33,8.6,12.5,0.05,0.71,313.8,145.7,39,25
soil21,3,14,20.7,64.1,0.45,0.36,0.33,9.01,17,0.1,0.61,266,133.6,74.1,55
soil21,4,9.4,21.2,67.6,0.47,0.36,0.29,8,175,0.4,0.42,262.2,149.1,125.6,100
soil21,5,7.4,18.3,73.2,0.51,0.34,0.27,8.45,130,0.4,0.1,258,174.7,156.4,260
soil22,1,22.5,18,58,0.34,0.28,0.23,7.95,14.4,0.1,0.77,288.4,125.6,11.5,7
soil22,2,22.5,18.2,57.9,0.31,0.28,0.25,8.39,12.7,0.4,0.55,309.3,127.7,33.2,16
