soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil120,4,81.9,4.5,13.4,0.69,0.55,0.43,5.86,3,0.05,0.11,0.05,10.7,3.3,100
soil120,5,82,5.6,12.3,0.78,0.52,0.28,5.8,5.8,0.05,0.04,0.05,12.2,7.3,276
soil121,1,86.3,5,6.9,0.54,0.46,0.42,6.01,3.3,0.05,1.03,5.2,1,0.05,10
soil121,2,83.8,5.8,9.7,0.62,0.44,0.24,5.51,2.1,0.05,0.39,1.4,0.7,0.05,25
soil121,3,82.6,5.6,11.4,0.62,0.44,0.24,5.8,1.2,0.05,0.22,0.05,1.6,0.05,55
soil121,4,84.6,7.3,8,0.87,0.77,0.73,5.88,0.8,0.05,0.03,0.05,2.7,0.05,100
soil121,5,85.1,6.6,8.3,0.87,0.77,0.73,5.53,0.8,0.05,0.02,0.9,0.05,0.05,183
soil122,1,87.8,2.5,6.2,0.25,0.19,0.16,5.54,4,0.05,2.06,3.8,1.7,0.9,10
soil122,2,85.1,4,7.5,0.35,0.27,0.24,4.83,2,0.05,1.99,0.05,0.3,0.05,25
soil122,3,82.8,3.3,12.1,0.58,0.45,0.33,5.08,1.2,0.05,1.04,0.7,0.3,0.05,55
soil122,4,82.3,3.8,13.6,0.59,0.3,0.18,5.08,1.1,0.05,0.18,0.05,0.6,0.1,100
soil122,5,82.7,6.5,10.6,0.84,0.65,0.43,5.51,1.3,0.05,0.09,0.4,4,0.7,193
soil123,1,33.1,8.5,54.7,0.46,0.36,0.33,8.08,26.4,0.4,1.87,302,247.5,1,10
soil123,2,31.7,8.5,56.8,0.46,0.36,0.33,8.47,16.7,0.8,1.23,301.2,312.9,3.3,25
soil123,3,26.2,7.9,51.8,0.58,0.45,0.33,8.86,18,12.8,0.72,217.3,343.7,12.3,55
soil123,4,31.6,7.8,50.6,0.58,0.45,0.33,9.31,44.8,9.2,0.35,79.7,337.6,50.3,100
soil123,5,19.2,13.7,66.1,0.47,0.36,0.29,8.94,90.8,0.3,0.22,59.6,457.9,99.5,273
soil124,1,56.3,17,23.5,0.37,0.27,0.21,6.82,11.6,0.05,1.87,60.7,32.2,4.9,8
soil124,2,32.3,16.9,49.1,0.36,0.27,0.2,7.98,7.6,0.05,1.01,156.3,79,13.3,25
soil124,3,32.4,18.5,48,0.37,0.27,0.16,9.04,12.2,0.05,0.64,147.9,93.3,31,55
soil124,4,27.4,23.2,41.3,0.46,0.36,0.27,8.76,70.7,7.3,0.32,120.7,97.5,41.6,100
soil124,5,30.2,26.8,38.8,0.49,0.35,0.25,8.26,142.9,3.4,0.18,101.8,119.1,55.5,266
soil125,1,17.8,19.5,60.8,0.34,0.28,0.23,8.31,20.6,0.1,1.04,246.4,117,24.1,10
soil125,2,13.6,16.6,68.3,0.41,0.38,0.34,8.78,22.5,0.2,0.73,245.5,130.4,40.7,25
soil125,3,12,15.4,70.1,0.41,0.38,0.34,8.85,33,1.5,0.49,236.5,153.7,59.3,55
soil125,4,10,16.1,71.7,0.34,0.28,0.23,8.99,41.4,1.3,0.42,182.1,159.8,92.5,100
soil125,5,11.1,17.3,69.6,0.44,0.37,0.31,8.99,40.8,1.2,0.37,157.7,153.7,112.4,260
soil126,1,28.7,18.8,49.9,0.34,0.28,0.23,6.91,26.6,0.1,1.43,199.8,102.2,6.7,10
soil126,2,28.8,19.1,50.5,0.34,0.28,0.23,8.34,9.1,0.4,0.69,214.3,112.9,12.6,25
soil126,3,27.7,19.7,51.5,0.34,0.28,0.23,8.99,7.6,0.1,0.58,201.6,127.6,20,55
soil126,4,29.1,20.8,47.7,0.49,0.35,0.25,9.33,26.1,1.6,0.43,159,124.9,37.8,100
soil126,5,31.4,20.1,45.9,0.49,0.35,0.25,9.43,30.4,2.2,0.14,97.8,114,45.1,271
soil127,1,20,14,64.3,0.41,0.37,0.35,8.62,12.8,0.4,0.75,268.2,182.7,24.3,10
soil127,2,18.8,14.2,65.7,0.44,0.37,0.31,8.77,12.1,0.3,0.56,275.8,181,26.9,25
soil127,3,21.4,14,63.1,0.31,0.28,0.25,9.15,22.9,0.7,0.41,255.6,195.1,56.8,55
soil127,4,22.4,14.7,61.7,0.41,0.38,0.34,9.22,30.3,0.4,0.41,189.1,182.1,85.9,100
soil127,5,17.5,16.4,64.4,0.55,0.46,0.36,9.1,48.8,1,0.31,206.5,181.2,93.1,278
soil128,1,8.9,17.5,72.3,0.34,0.28,0.23,8.24,19.2,0.1,0.66,267.1,216,27.3,10
soil128,2,9,17.2,72.8,0.34,0.28,0.23,8.36,16.3,0.05,0.58,256.2,215.8,30.2,25
soil128,3,7.2,17.3,74.5,0.34,0.28,0.23,8.72,13.4,0.05,0.55,240.9,209.2,40.8,55
soil128,4,5.9,16.4,76.4,0.34,0.28,0.23,8.95,33.4,0.4,0.45,247.9,240.7,75.2,100
soil128,5,2.3,18,78.2,0.34,0.28,0.23,8.9,51.9,0.8,0.28,240.9,222.4,95.3,262
soil129,1,19.2,22.6,56.2,0.35,0.27,0.24,7.76,12.4,0.05,1.12,246.4,145,8.2,10
soil129,2,18.7,22.9,57.2,0.35,0.27,0.24,8.66,10.6,0.1,0.63,289.6,164.3,13.1,25
soil129,3,19.7,21.7,57.2,0.35,0.27,0.24,8.98,16.5,0.4,0.54,263.6,173.5,26.7,55
soil129,4,18.6,23,56.7,0.36,0.27,0.24,9.27,23.7,0.8,0.45,215,179.7,56.7,100
soil129,5,16.7,23.1,59.3,0.51,0.34,0.27,8.93,46.6,0.3,0.23,192.2,173.3,75.8,277
soil130,1,22.1,16,60.1,0.31,0.28,0.25,8.11,11.5,0.2,0.9,355.7,155.7,2.8,10
soil130,2,23.8,15.6,58.8,0.31,0.28,0.25,8.55,12,0.5,0.74,362.2,154.7,4,25
soil130,3,23,15.6,59.3,0.31,0.28,0.25,8.68,12.6,0.9,0.7,358,162.4,8.9,55
soil130,4,22.2,15.6,59.9,0.35,0.27,0.24,8.92,14.9,1.2,0.6,324.4,185.1,23.7,100
soil130,5,18.3,16.4,63.2,0.45,0.36,0.33,8.98,16.8,1.3,0.43,339.6,191.3,32.4,130
soil131,1,22.3,15.4,59.6,0.31,0.28,0.25,8.17,12.8,0.2,1.44,540.6,88.2,1.5,8
soil131,2,23.9,13.8,59.5,0.31,0.28,0.25,8.52,14.4,1,1.05,576.1,92.7,2.6,25
soil131,3,19.1,16,61.7,0.31,0.28,0.25,8.61,13.7,1.5,0.96,558,100.2,5.2,55
soil131,4,20.5,16.5,56,0.31,0.28,0.25,8.91,14.8,5.7,0.76,516.5,104.1,14.9,100
soil131,5,18.6,17.5,49.3,0.55,0.46,0.36,9.03,21.7,14.1,0.22,479,154.5,30.6,158
soil132,1,52.2,18.8,25.2,0.37,0.27,0.16,6.66,10.7,0.05,2.22,48.9,49.8,11.7,8
soil132,2,30.8,15.8,51.5,0.36,0.27,0.24,8.41,15.6,0.05,1.11,159.2,167.9,58.9,25
soil132,3,26.7,16.2,53.8,0.37,0.27,0.21,9.14,64.9,1.5,0.93,155,158.5,101.7,55
soil132,4,37.9,22.8,37.6,0.35,0.27,0.24,8.9,71.5,0.5,0.55,118.4,119.4,77.9,100
soil132,5,34.4,23.6,40.8,0.35,0.27,0.24,8.64,76.3,0.1,0.49,117.4,122.8,80.4,364
soil133,1,47.6,17.1,33,0.37,0.27,0.21,6.64,14,0.05,1.32,87.3,77.2,6,10
soil133,2,36.8,19.2,42.5,0.36,0.27,0.24,8.33,12.7,0.05,0.83,134.7,134.4,15.1,25
soil133,3,31.7,16.4,48,0.36,0.27,0.24,9.35,27.6,2.7,0.64,136.7,157.7,41.8,55
soil133,4,43.5,16.8,35.7,0.51,0.34,0.27,9.61,33.2,3.3,0.32,78.4,123.9,57.7,100
soil133,5,58,13.4,27.5,0.47,0.36,0.29,9.56,29.3,0.7,0.18,75.5,114.3,55.1,469
soil134,1,45.7,21.4,28.9,0.31,0.28,0.25,6.32,13.4,0.05,2.31,100.6,43.5,0.4,6
soil134,2,47.1,18.8,30.8,0.31,0.28,0.25,7.08,6.5,0.05,1.91,184.6,56.1,1.2,25
soil134,3,36.3,17.5,44.4,0.34,0.28,0.23,7.75,5.7,0.05,1.07,234.7,75.5,3.2,55
soil134,4,42,19.9,37,0.49,0.35,0.25,8.16,6,0.05,0.65,242.1,93.2,5.1,100
soil134,5,59.5,15.1,24.9,0.45,0.36,0.26,8.49,5.4,0.05,0.28,171.8,62.7,4.9,269
soil135,1,64.1,9.6,23.7,0.35,0.27,0.24,6.59,10.1,0.05,1.5,66,39,1.7,10
soil135,2,61.2,10.4,26.6,0.35,0.27,0.24,7.08,5.3,0.05,1.03,90,41.4,2.4,25
soil135,3,52.7,8.5,37.9,0.35,0.27,0.24,8.71,0.05,0.1,0.47,138.7,106.2,12.7,55
soil135,4,46.9,9.1,38.7,0.37,0.27,0.21,9.33,26,4.7,0.28,95.5,123.3,29.2,100
soil135,5,50.9,9.7,39.1,0.49,0.35,0.25,7.21,48.6,0.05,0.08,74.4,122.2,42.8,260
soil136,1,54.5,7.5,34,0.35,0.27,0.19,6.78,8.7,0.05,2.31,65.7,65.5,3.4,6
soil136,2,47.1,6,46,0.65,0.56,0.45,6.2,12.3,0.05,0.52,75.3,70.4,10,25
soil136,3,39.4,7.8,51.7,0.58,0.45,0.33,6.32,27.7,0.05,0.6,75.1,97.5,17.9,55
soil136,4,60.4,7.3,31.9,0.73,0.54,0.34,8.4,45.3,0.05,0.14,48,89.6,18.7,80
soil136,5,62.75,6.8,29.6,0.73,0.54,0.34,8.85,45.4,0.53,0.1,41.55,79.65,21.1,122
soil136,6,65.1,6.3,27.3,0.55,0.46,0.36,9.3,45.5,1,0.06,35.1,69.7,23.5,262
soil137,1,90.8,3.9,4.7,0.48,0.36,0.24,5.79,1.5,0.05,0.33,9.1,0.05,3.1,10
soil137,2,90.5,3.7,5.4,0.8,0.66,0.53,5.39,1.3,0.05,0.25,8,0.05,0.2,25
soil137,3,90.6,3.8,5.4,0.58,0.45,0.33,5.64,1,0.05,0.13,9.8,0.05,0.3,55
soil137,4,87.7,3.7,8.5,0.58,0.45,0.33,6.3,0.7,0.05,0.06,9.4,5.3,0.2,75
soil137,5,83.65,3.55,12.7,0.58,0.45,0.33,6.74,5.55,0.05,0.05,7.9,23.9,4.35,120
soil137,6,79.6,3.4,16.9,0.73,0.54,0.34,7.17,10.4,0.05,0.04,6.4,42.5,8.5,230
soil138,1,60.8,10.1,25.4,0.34,0.28,0.23,7.8,6.6,0.1,2.11,93.8,51.8,1.2,10
soil138,2,58.1,10,29.5,0.44,0.37,0.31,7.59,6.2,0.05,1.41,117.2,65.9,1.1,18
soil138,3,50.3,8.7,39,0.45,0.36,0.33,8.33,13.2,0.3,0.95,135.4,138.6,4.5,55
soil138,4,50.3,9.6,36.3,0.54,0.33,0.21,9.32,19.9,3,0.43,46.6,163.3,21.9,100
soil138,5,43.1,10.4,42.9,0.54,0.33,0.21,9.22,54.5,3.1,0.2,39.9,181.2,54.5,285
soil139,1,44.5,16.7,36.1,0.34,0.28,0.23,7.74,8,0.1,1.53,114.3,122.5,3.5,7
soil139,2,35.1,13.6,46.2,0.45,0.36,0.33,8.75,15.5,3.6,0.86,184.1,169.6,13.7,25
soil139,3,30.9,13.9,47.6,0.45,0.36,0.33,9.2,21.2,6.4,0.64,124.8,186.5,30,55
soil139,4,30.9,13.1,48.5,0.45,0.36,0.33,9.2,45.9,6.8,0.29,85.6,214.8,53.3,100
soil139,5,34.4,12.6,46.3,0.6,0.44,0.35,8.99,58.5,6,0.28,73.9,206.1,39.4,295
soil140,1,41.6,14.8,40.3,0.25,0.19,0.16,7.39,20.5,0.05,1.9,170.7,92.5,1.5,7
soil140,2,32.5,11.4,54.2,0.4,0.26,0.19,7.26,5.8,0.05,1.11,215.3,119.2,2.1,25
soil140,3,30.4,11.3,56.6,0.4,0.26,0.19,7.87,6.5,0.05,1,223.6,131.7,2.5,55
soil140,4,57.6,10.9,28.9,0.39,0.26,0.18,8.42,15.8,0.9,0.94,91.9,79.3,4.3,100
soil140,5,25,9.8,37.6,0.4,0.26,0.19,8.69,16.1,27,0.33,129.3,167.7,5.4,151
soil141,1,21.1,19.8,56.5,0.41,0.38,0.34,8.36,13.7,0.2,1.36,236.4,139.2,11.8,10
soil141,2,20.2,19.9,57.9,0.31,0.28,0.25,8.59,10.8,0.1,1.08,244.8,152.4,15.8,25
soil141,3,20,19.4,59,0.31,0.28,0.25,8.8,11.5,0.05,0.89,224.8,165.7,19.9,55
soil141,4,22.8,19.3,52.8,0.49,0.35,0.25,8.94,21.3,4.3,0.42,152.8,161.7,19,100
soil141,5,36.9,16.9,45.3,0.49,0.35,0.25,8.83,17.4,0.4,0.24,126.2,142.8,17.8,274
soil142,1,9.5,18.6,68.7,0.31,0.28,0.25,7.63,21.1,0.3,1.66,277,127.4,9.6,11
soil142,2,9.2,18.4,70.1,0.31,0.28,0.25,8.42,12.2,0.2,1.21,272,133.3,14.4,25
soil142,3,5.6,18.6,74.1,0.31,0.28,0.25,8.74,13.7,0.1,0.92,264.7,158.6,27.7,55
soil142,4,5.6,18.3,73.6,0.31,0.28,0.25,8.94,25.3,1.1,0.75,203.8,193,48,100
soil142,5,5.8,18.8,72.6,0.45,0.36,0.26,9.17,33,1.7,0.56,171.6,208.4,78.2,271
soil143,1,23.6,16.7,56.2,0.34,0.28,0.23,7.67,20.4,0.4,1.79,234.4,170.5,6.3,10
soil143,2,24.6,16.7,56.4,0.34,0.28,0.23,8.43,16.2,0.9,0.8,258.3,182.6,12,25
soil143,3,22.6,16.9,58,0.34,0.28,0.23,8.65,24.4,1.2,0.71,233,210.5,33.3,55
soil143,4,17.9,19.6,59.8,0.34,0.28,0.23,9.14,31.5,1.7,0.51,201.4,243.9,61.6,100
soil143,5,19.1,20,59.4,0.35,0.27,0.19,9.02,40,0.9,0.28,178.8,217.7,68.4,282
soil144,1,14.8,12.4,70.5,0.31,0.28,0.25,7.91,11.7,0.05,1.31,246.5,181.4,15.9,10
soil144,2,16.2,12.4,69.8,0.41,0.38,0.34,8.64,11.4,0.05,0.94,252.2,180.4,24.4,25
soil144,3,15.5,12.8,70.3,0.41,0.38,0.34,9.23,14.9,0.3,0.6,243.8,181.1,46.3,55
soil144,4,17,12.7,69,0.41,0.38,0.34,9.41,39.2,1.5,0.49,181.5,180.2,94.7,100
soil144,5,13.5,13.1,72,0.41,0.38,0.34,9.3,63.3,0.3,0.53,140.7,181.8,138,262
soil145,1,17.3,19.6,61.5,0.34,0.28,0.23,8.07,13.2,0.1,0.84,230.1,150.4,12.6,10
soil145,2,20.8,17.1,60.5,0.41,0.38,0.34,8.28,12.8,0.1,0.85,245.6,168.7,14.6,25
soil145,3,17.5,16.6,64,0.34,0.28,0.23,8.91,23.3,0.9,0.56,259.6,205.5,37.3,55
soil145,4,11.8,17.4,68.6,0.34,0.28,0.23,9.11,47.1,1.3,0.45,191,224.2,87,100
soil145,5,6.8,20.7,71,0.34,0.28,0.23,9.14,52.8,0.6,0.42,186.7,237.9,100.9,296
soil146,1,18,15.1,65.1,0.34,0.28,0.23,8.35,61.8,0.4,0.67,283.5,187.2,17.3,5
soil146,2,19.15,15.85,63.35,0.34,0.28,0.23,8.56,43.1,0.4,0.64,276.65,190.95,19,12
soil146,3,20.3,16.6,61.6,0.34,0.28,0.23,8.77,24.4,0.4,0.61,269.8,194.7,20.7,25
soil146,4,15.3,17.1,66.4,0.34,0.28,0.23,8.68,25.5,0.2,0.51,241.2,200.1,34.2,55
soil146,5,11.8,18.2,68.8,0.6,0.44,0.35,9.15,38.5,0.4,0.39,191.4,226.3,91,100
soil146,6,10.5,17.2,71.1,0.6,0.44,0.35,9.24,53.7,0.7,0.16,170.9,215.3,105.4,281
soil147,1,25.5,19.4,53.4,0.31,0.28,0.25,8.11,11.1,0.05,0.98,205,145.8,13.4,9
soil147,2,23.3,19.7,55.8,0.31,0.28,0.25,8.77,9.8,0.1,0.63,239.5,156.4,19.6,18
soil147,3,24.4,19.4,54.4,0.31,0.28,0.25,9.17,18,0.8,0.53,224.5,163.8,36.8,50
soil147,4,21.4,21.1,56.1,0.31,0.28,0.25,9.38,31.3,0.5,0.46,180.7,171.3,72.7,80
soil147,5,18.2,21.3,59.6,0.49,0.35,0.25,9.09,40,0.4,0.22,169.1,176.4,78.9,330
soil148,1,47.8,17.5,31.9,0.34,0.28,0.23,7.61,22.1,0.1,1.52,140.6,70.4,6,10
soil148,2,42.2,17.4,38,0.34,0.28,0.23,7.11,18.5,1.2,0.69,183.3,84.6,15.2,18
soil148,3,37.1,18.7,40.2,0.34,0.28,0.23,9.77,30.8,3,0.52,133.1,116.6,52.9,40
soil148,4,30.7,21.8,43.9,0.45,0.36,0.33,9.73,66.1,2.8,0.33,81.6,136.8,96.7,100
soil148,5,26.6,24.6,47.2,0.48,0.36,0.24,9.48,75.5,1,0.18,82.9,146.3,96,257
soil149,1,34.9,18.3,44.3,0.35,0.27,0.24,8.03,22,0.2,1.29,220.9,130.7,11.4,10
soil149,2,36.4,20.4,41.9,0.34,0.28,0.23,8.67,10.3,0.05,0.73,180.7,131.6,18.6,25
soil149,3,30.1,22.8,44.4,0.34,0.28,0.23,9.23,24.5,1.6,0.59,152.1,168.7,37.9,55
soil149,4,30.3,22.5,44.8,0.34,0.28,0.23,9.5,52.8,1.5,0.39,73.5,164.2,90.5,100
soil149,5,42.3,17.6,37.8,0.51,0.34,0.27,9.42,76.7,1.7,0.17,58.1,147.2,87.1,283
soil150,1,27.4,19.1,50.9,0.35,0.27,0.24,7.43,24.9,0.05,1.49,226.1,154.1,6.1,10
soil150,2,26.2,19.3,52.7,0.35,0.27,0.24,8.22,9.3,0.05,1.02,235.7,153.6,8.1,25
soil150,3,25.7,20.4,52.3,0.35,0.27,0.24,8.74,11.7,0.4,0.7,216.3,160.2,16.1,55
soil150,4,26.6,20.8,50.6,0.35,0.27,0.24,9.15,23.5,0.9,0.57,177.5,177.9,42.6,100
soil150,5,26.5,22.9,48.9,0.37,0.27,0.21,9.4,35.3,1,0.31,93.2,185.1,71.1,292
soil151,1,38.5,20.8,37.5,0.34,0.28,0.23,7.11,12.1,0.05,1.85,105.5,76.7,5.1,8
soil151,2,26.6,19.2,52,0.34,0.28,0.23,7.84,6.4,0.05,1.28,199.7,120.6,10.4,25
soil151,3,23.4,20.1,54.4,0.34,0.28,0.23,8.67,7.3,0.1,1.14,212.1,162.3,17.3,55
soil151,4,26.3,22.2,48.1,0.49,0.35,0.25,9.16,21.2,2.4,0.56,170.6,141.8,24.1,100
soil151,5,28.1,23.2,48.2,0.47,0.36,0.29,9.11,18.6,0.1,0.22,151.9,121,23.2,292
soil152,1,45.6,20.7,28.8,0.35,0.27,0.24,6.62,18.8,0.05,2.87,145.5,77.6,1.9,10
soil152,2,45.7,22,29.8,0.35,0.27,0.24,7.41,6.2,0.05,1.46,172.9,92.7,3.2,25
soil152,3,45.2,19.7,33.4,0.35,0.27,0.24,7.96,5.5,0.05,1.01,189.5,130.5,2.8,55
soil152,4,49.6,18.2,30.8,0.35,0.27,0.24,8.39,7.8,0.05,0.83,159.8,127.7,8.5,100
soil152,5,58.2,14,26.3,0.39,0.26,0.18,8.89,0.05,0.7,0.46,121.7,124.4,12.1,130
soil153,1,46.8,15,36.3,0.35,0.27,0.24,7.61,10.9,0.05,1.07,98.4,124.1,8.6,10
soil153,2,45.7,12.6,40.4,0.35,0.27,0.24,8.09,8.3,0.05,0.75,123.6,146.1,12.9,25
soil153,3,47.4,12.4,38.6,0.35,0.27,0.24,8.81,18.3,0.4,0.65,113.7,155.6,20,55
soil153,4,42.7,13.6,41.8,0.37,0.27,0.21,9.12,34.4,1,0.47,94.2,171.4,43.6,100
soil153,5,49.4,12.5,36,0.37,0.27,0.21,9.17,35,1.5,0.29,82.3,140.4,37.1,263
soil154,1,63.1,12.6,20.1,0.35,0.27,0.19,5.91,43,0.05,2.4,88.2,46.7,0.05,10
soil154,2,58.8,15,23.8,0.35,0.27,0.19,6.77,10,0.05,1.4,132.8,71.9,1,25
soil154,3,56.5,15.3,25.8,0.35,0.27,0.24,7.33,5.1,0.05,1.38,164.2,80.2,1.7,55
soil154,4,68.1,10.5,19.6,0.45,0.36,0.26,7.99,10.8,0.1,0.96,141.9,71.9,1.1,100
soil154,5,52.5,14.5,31.4,0.35,0.27,0.24,8.57,7.9,0.1,0.86,169.2,120.2,12.3,275
soil155,1,43.1,18.8,32.5,0.35,0.27,0.24,7.87,15.2,0.05,3.28,261.1,63.5,2.1,7
soil155,2,68.6,11.2,17.5,0.49,0.35,0.25,7.75,8.6,0.05,1.58,159.8,42.8,2.2,25
soil155,3,47.7,22.4,26.4,0.35,0.27,0.24,8.24,11.9,0.2,1.93,208.9,66.4,1.4,55
soil155,4,34,30,32,0.35,0.27,0.19,8.34,15.2,0.5,2.02,253,112.5,5.9,100
soil155,5,57.5,14.6,25.9,0.35,0.27,0.24,8.71,11.6,1,0.56,147.5,75.1,7.6,265
soil156,1,42.6,13.7,41.1,0.31,0.28,0.25,8.03,16.2,0.1,1.43,219.8,78.8,3,10
soil156,2,44.2,14.8,38.6,0.31,0.28,0.25,8.22,10.5,0.05,1.37,233.4,98.5,5.2,25
soil156,3,35,15.4,47.6,0.31,0.28,0.25,8.79,8.7,0.05,1.14,235.4,175.9,18.6,55
soil156,4,28.1,18.6,50,0.41,0.38,0.34,9.17,35.2,1.8,0.82,169.6,227.1,69.3,100
soil156,5,33.2,11.8,51.4,0.6,0.44,0.35,8.63,100,2.7,0.3,101,216.4,66.4,270
soil157,1,24.9,11.2,59.3,0.36,0.27,0.24,6.89,22.5,0.1,2.62,257.5,130.1,1.8,10
soil157,2,22.2,11.1,63.8,0.36,0.27,0.24,6.92,11.6,0.05,1.7,255.8,140.9,1.6,25
soil157,3,21.4,12.2,63.9,0.4,0.26,0.19,7.28,5.4,0.1,1.41,250,164.1,4.7,40
soil157,4,19.45,13.5,52.4,0.4,0.26,0.19,7.86,9.55,13,0.96,252.15,171.45,7.05,70
soil157,5,17.5,14.8,40.9,0.45,0.23,0.15,8.43,13.7,25.9,0.5,254.3,178.8,9.4,100
soil157,6,43.4,18.4,29.2,0.45,0.23,0.15,8.55,9.9,8.9,0.06,234.8,148,10.4,193
soil158,1,43.4,20.5,31.9,0.35,0.27,0.24,6.7,22.6,0.05,2.41,163,89.1,1.6,10
soil158,2,35.6,23.5,38.4,0.35,0.27,0.24,7.1,9.3,0.05,1.47,188.1,127.6,1.8,25
soil158,3,29,23,46.4,0.37,0.27,0.21,7.68,6.8,0.05,0.91,221,194.6,6.8,55
soil158,4,29.4,21.9,44.4,0.37,0.27,0.21,8.55,30.2,3.3,0.51,228.1,234.2,14.6,100
soil158,5,57.5,21.5,20,0.54,0.33,0.21,8.69,22.2,0.6,0.18,133.3,149.6,11.3,127
soil159,1,27.1,28.1,40.6,0.34,0.28,0.23,7.03,12.9,0.05,2.43,168.6,96.6,3.8,4
soil159,2,24.6,30,42.1,0.34,0.28,0.23,7.2,8.95,0.05,1.91,179.4,96.95,3.65,10
soil159,3,22.1,31.9,43.6,0.34,0.28,0.23,7.37,5,0.05,1.39,190.2,97.3,3.5,25
soil159,4,31.7,27,39.6,0.58,0.45,0.33,7.51,4.8,0.05,0.97,187.5,95,2.7,55
soil159,5,45.4,18.7,34.6,0.35,0.27,0.24,7.52,4.8,0.05,0.78,154.1,84.9,2.1,100
soil159,6,35.4,23.2,40,0.34,0.28,0.23,7.62,4.3,0.05,0.81,170.8,96.4,3.3,285
soil160,1,43.4,18,36,0.35,0.27,0.19,6.37,8.8,0.05,1.49,105,60.7,2.3,5
soil160,2,44.55,16.5,36.85,0.35,0.27,0.19,6.66,6.85,0.05,1.22,119.25,59.6,2.55,10
soil160,3,45.7,15,37.7,0.34,0.28,0.23,6.95,4.9,0.05,0.95,133.5,58.5,2.8,25
soil160,4,38.7,15.3,44.7,0.36,0.27,0.24,7.49,4.3,0.05,0.77,161,68,6.1,55
soil160,5,39.1,12.6,47.5,0.51,0.34,0.27,8.17,5.5,0.05,0.46,170.5,77,9.1,100
soil160,6,60.7,8.4,30.6,0.49,0.35,0.25,8.34,6.2,0.05,0.16,128.2,59.9,7.8,269
soil161,1,23.2,20.1,53.7,0.34,0.28,0.23,7.56,17.5,0.1,1.68,224.4,83.9,2.3,7
soil161,2,23.3,20.3,53.5,0.34,0.28,0.23,8.26,16,1.1,1.02,250.5,80.7,3,25
soil161,3,24.1,18.4,52.5,0.35,0.27,0.24,8.46,15.6,3.6,0.78,225.2,101.3,6,55
soil161,4,24.8,18.7,52.6,0.34,0.28,0.23,8.67,19.7,2.6,0.71,175.2,139.1,17.3,100
soil161,5,23.4,19.4,53.4,0.35,0.27,0.24,8.76,24.6,2.9,0.47,155.3,143,26.9,300
soil162,1,25.6,17.1,56.1,0.34,0.28,0.23,8.55,10,0.05,0.66,237.2,110.3,6.9,10
soil162,2,27.8,16.6,54.4,0.34,0.28,0.23,8.74,8,0.1,0.62,218.5,108.5,7.4,17
soil162,3,28.5,16.2,54.3,0.34,0.28,0.23,8.44,8.1,0.05,0.56,209.5,111.9,13,55
soil162,4,26.3,16.9,54.7,0.34,0.28,0.23,8.57,19.6,1.2,0.47,183.2,119.5,29.5,100
soil162,5,17.6,21,60.7,0.49,0.35,0.25,8.69,19.6,0.2,0.27,177.1,130.9,46.9,298
soil163,1,14.9,15.8,67.9,0.34,0.28,0.23,8.69,15.5,0.1,0.72,240.5,230,16.8,6
soil163,2,13.2,16.6,69,0.34,0.28,0.23,8.78,11.7,0.1,0.63,247.5,233.5,21.6,25
soil163,3,12.2,16.5,70.1,0.34,0.28,0.23,9.08,16.4,0.3,0.49,228,244.6,37.2,55
soil163,4,6.2,18.2,74,0.34,0.28,0.23,9.25,25.7,0.8,0.42,191.5,256.7,81.6,100
soil163,5,11.3,18.5,69,0.34,0.28,0.23,9.25,36.9,0.5,0.35,162.1,245.1,96.6,285
soil164,1,28.6,15.3,54.6,0.44,0.37,0.31,8.32,13.4,0.3,0.66,204.4,165.1,14.2,10
soil164,2,33.4,13.2,52,0.54,0.46,0.42,8.51,13.4,0.2,0.66,201.6,163.4,14.9,25
soil164,3,32.3,15.4,51,0.44,0.37,0.31,8.78,13.5,0.3,0.54,181.3,170.1,19.9,55
soil164,4,45.3,12.5,41,0.44,0.37,0.31,8.85,15.6,0.5,0.38,127.6,143.8,26,100
soil164,5,65.3,8.3,26.1,0.62,0.44,0.24,8.92,8.8,0.05,0.15,75.2,83.3,18.1,279
soil165,1,41.9,20.5,35.1,0.44,0.37,0.31,7.41,21,0.05,1.41,113.5,78.5,17.6,5
soil165,2,38.2,22.4,37.5,0.44,0.37,0.31,8.04,18.65,0.05,1.06,135.95,81.5,26.5,10
soil165,3,34.5,24.3,39.9,0.44,0.37,0.31,8.66,16.3,0.05,0.71,158.4,84.5,35.4,25
soil165,4,33,24.3,40.6,0.34,0.28,0.23,8.27,158.5,0.6,0.51,154.7,95,58.1,55
soil165,5,24.8,21,52,0.45,0.36,0.26,8.53,159.5,1.3,0.19,158.5,109.6,89.1,100
soil165,6,31.5,16.7,45.2,0.55,0.46,0.36,9.26,83.4,5.9,0.22,139.4,91.5,79.6,279
soil166,1,36,15.8,45.6,0.34,0.28,0.23,7.37,3.8,0.1,1.47,201.8,135.7,3.8,10
soil166,2,32.5,16.6,49,0.34,0.28,0.23,7.46,12,0.6,0.73,215.3,161.1,9.5,25
soil166,3,32.9,16.1,48.8,0.41,0.38,0.34,8.4,14.9,1.2,0.54,161.2,182.5,35.7,55
soil166,4,31.6,15.9,50.1,0.41,0.38,0.34,9.04,23.3,1.4,0.52,98.1,220.1,91.7,100
