Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
FU4,116,0,13,13,A,5YR,3,3,0.183884298,0.464876033,0.351239669,4.87,2.7,1.67,1.211,,41060,3444,26310,6885,9271,421,4027,11.6,-0.039,-0.11,-0.06,-0.03,-0.06,-0.05,-0.05,0.06,1.55
FU4,117,13,33,20,E,5YR,5,3,0.443852459,0.310245902,0.245901639,4.22,0.95,0.12,1.432,,42990,2651,35700,7330,10950,467.8,4408,16.3,-0.257,-0.18,-0.09,-0.05,-0.1,-0.04,-0.06,-0.03,0.62
FU4,118,33,61,28,Bw,7.5YR,4,6,0.57,0.24,0.19,4.91,0.79,0.04,1.481,,58070,3069,43450,7405,12730,480.4,5239,21.8,-0.395,-0.26,-0.14,-0.11,-0.11,-0.06,-0.1,-0.03,0.52
FU4,119,61,94,33,BC,10YR,4,4,0.461077844,0.292215569,0.246706587,4.95,0.26,0.06,1.507,,62940,12930,50800,6250,12950,825.6,4814,32.9,-0.354,-0.14,-0.01,-0.15,-0.09,0.01,-0.08,-0.05,-0.01
FU4,120,94,120,26,C,10YR,4,3,0.377593361,0.373443983,0.248962656,4.88,0.19,0,1.552,,61490,15790,35460,7693,12310,610.1,3456,18.4,,,,,,,,,
IL1,124,0,3,3,A,10YR,4,3,0.300411523,0.411522634,0.288065844,4.83,5.09,0.23,1.105,0.7200,53480,4979,59240,6762,12890,398.1,6582,23.0,0.164,0.06,0,0.01,0,-0.01,-0.01,0.02,0.99
IL1,125,3,17,14,BC,10YR,4,4,0.396929825,0.361842105,0.24122807,4.78,1.58,0.17,1.285,0.7150,49190,4407,56490,5952,12650,361.8,6009,22.1,0.097,0.22,0.02,0.04,0.01,-0.02,0.03,0.01,1.03
IL1,126,17,90,73,C,10YR,4,6,0.352941176,0.411764706,0.235294118,4.92,0.76,0.06,1.3,0.7141,52910,3754,62450,6170,13190,384.7,6510,20.1,,,,,,,,,
IL2,127,0,14,14,A,10YR,4,4,0.496761134,0.192307692,0.310931174,4.68,1.51,0.13,1.314,,42280,6749,47270,6356,12200,527.7,4772,14.7,0.243,-0.02,0.01,0.02,-0.02,0,0,0.14,1.09
IL2,128,14,40,26,BC,10YR,4,6,0.326530612,0.367346939,0.306122449,5.09,0.68,0.04,1.398,,43700,7343,45400,5362,12410,586.8,5095,19.4,0.094,-0.02,0.06,-0.1,-0.05,-0.07,-0.03,0.15,0.47
IL2,129,40,100,20,C,10YR,5,4,0.564676617,0.26119403,0.174129353,5.8,0.4,0.02,1.505,,48170,7675,51190,6425,13140,548.3,5179,17.2,,,,,,,,,
IL3,130,0,6,6,A,10YR,3,3,0.298780488,0.31504065,0.386178862,5.09,5.87,1.14,1.081,,38100,7555,31040,5566,10130,487.2,3651,5.9,0.387,0.02,0.04,-0.01,0.02,0,0.01,0.05,0.21
IL3,131,6,25,19,Bw1,10YR,4,4,0.285714286,0.412474849,0.301810865,4.94,1.09,0.21,1.315,,41230,5836,33580,4992,10120,508.4,4339,8.0,-0.04,0.03,0.07,-0.09,0.03,-0.01,-0.01,0.11,-0.1
IL3,132,25,73,48,Bw2,10YR,4,6,0.3,0.466,0.234,5.03,0.59,0.06,1.33,,40940,5542,37340,5210,11200,414,4806,1.5,-0.143,0,-0.02,-0.25,0,-0.02,-0.02,0.09,-0.43
IL3,133,73,80,7,C1,10YR,4,6,0.586374696,0.218978102,0.194647202,4.95,0.72,0.03,1.505,,30980,5314,32010,4460,10220,389,3374,1.0,0.079,0.01,0.02,-0.02,0.01,0.02,0.02,0.01,-0.04
IL3,134,80,85,20,C2,10YR,4,6,0.65,0.17,0.17,4.57,1.6,0.06,1.457,,32090,608.7,30140,6855,9171,338.6,3760,4.4,,,,,,,,,
IL4,135,0,18,18,AE,10YR,5,3,0.468546638,0.249457701,0.281995662,4.75,3.42,0.19,1.276,,40350,4965,44010,6781,11810,345.7,4578,1.4,0.063,-0.27,-0.26,0.03,-0.02,0.21,-0.02,-0.29,4.12
IL4,136,18,100,82,C,10YR,4,4,0.308893709,0.43,0.26,4.44,0.67,0.13,1.352,,41390,6859,36510,6629,12090,468.2,4592,8.5,,,,,,,,,
IU1,141,0,8,8,A,10YR,3,2,0.394639175,0.322474227,0.282886598,4.52,10.21,1.38,0.952,0.7189,35790,2871,32950,5546,11230,354.5,3593,20.2,1.454,-0.04,0.05,-0.01,0.02,0.01,0.02,0.39,2.79
IU1,142,8,31,23,Bw,10YR,3,3,0.462809917,0.227272727,0.309917355,4.87,3.83,0.67,1.264,0.7125,41260,2789,36310,5714,12190,282.3,4353,16.7,0.526,-0.16,-0.04,-0.09,0.03,0,0.02,0.26,2.22
IU1,143,31,37,6,BC,10YR,4,6,0.594594595,0.155925156,0.249480249,4.49,1.87,0.12,1.443,0.7234,44190,3834,42250,6234,13920,320.4,5089,15.2,0.143,-0.03,-0.01,-0.03,0,0,0,-0.03,0.18
IU1,144,37,60,23,C1,10YR,3,4,0.480932203,0.222457627,0.296610169,4.6,1.55,0,1.42,0.7189,45530,5485,42960,8283,14170,430.2,5373,23.4,0.1,-0.03,0.04,-0.04,-0.02,-0.02,0,0,0.47
